writing_id,cefr_level,move_sequence
30665,C2,"['Social_Opening', 'Social_Closing', 'Social_Closing', 'Social_Closing', 'Physical_Description', 'Social_Closing', 'Daily_Routine', 'Social_Closing', 'Social_Closing']"
32816,C1,"['Other', 'Other', 'Other', 'Other', 'Other']"
35346,C1,"['Information_Reporting', 'Other', 'Social_Closing', 'Social_Closing']"
36291,C1,"['Information_Reporting', 'Social_Closing']"
41277,B2,"['Daily_Routine', 'Daily_Routine']"
42917,C1,"['Narrative_Experience', 'Information_Reporting', 'Daily_Routine', 'Information_Reporting']"
44234,C1,"['Other', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
44454,C2,"['Social_Opening', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Information_Reporting', 'Narrative_Experience', 'Information_Reporting', 'Social_Closing', 'Social_Closing']"
44747,C2,"['Social_Opening', 'Social_Closing', 'Daily_Routine', 'Social_Closing', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Other', 'Social_Closing']"
48036,C1,"['Information_Reporting', 'Opinion_Evaluation', 'Other', 'Information_Reporting', 'Physical_Description', 'Other']"
53120,C2,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Social_Closing']"
55097,A2,"['Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation']"
58621,C2,"['Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Self_Introduction', 'Opinion_Evaluation']"
62171,C2,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description']"
62889,C2,"['Social_Closing', 'Social_Closing', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
70043,B2,"['Physical_Description', 'Social_Closing', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other', 'Daily_Routine', 'Physical_Description']"
71949,C1,['Daily_Routine']
76496,C1,"['Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
76677,B1,"['Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting']"
79942,B1,"['Social_Opening', 'Physical_Description', 'Opinion_Evaluation', 'Physical_Description']"
80521,A1,"['Social_Closing', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
82244,B2,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Other', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Information_Reporting', 'Information_Reporting']"
84251,C1,"['Other', 'Other']"
88478,A2,['Narrative_Experience']
88932,C1,"['Social_Closing', 'Other', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Other', 'Other', 'Other']"
92066,C1,"['Information_Reporting', 'Opinion_Evaluation', 'Daily_Routine', 'Other', 'Other', 'Physical_Description', 'Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing', 'Social_Closing']"
94888,C1,"['Other', 'Opinion_Evaluation', 'Other']"
94894,C2,"['Social_Closing', 'Information_Reporting', 'Information_Reporting', 'Narrative_Experience', 'Social_Closing']"
95324,B2,"['Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing', 'Social_Closing']"
98961,C2,"['Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
100042,B1,"['Daily_Routine', 'Daily_Routine']"
100441,C1,['Other']
101275,B2,['Information_Reporting']
102511,B1,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
103934,C1,"['Social_Opening', 'Social_Closing', 'Social_Closing', 'Narrative_Experience', 'Social_Closing', 'Information_Reporting', 'Social_Closing', 'Other', 'Other', 'Social_Closing']"
106298,C2,"['Social_Opening', 'Other', 'Other', 'Social_Closing', 'Physical_Description', 'Information_Reporting', 'Social_Closing', 'Information_Reporting', 'Social_Closing']"
106565,B2,['Daily_Routine']
107141,A2,['Self_Introduction']
111518,A2,"['Information_Reporting', 'Information_Reporting', 'Other']"
113475,B1,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other', 'Daily_Routine', 'Other']"
113657,A2,"['Self_Introduction', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
113866,A1,"['Physical_Description', 'Physical_Description', 'Opinion_Evaluation']"
115776,C1,"['Information_Reporting', 'Other', 'Opinion_Evaluation', 'Other', 'Information_Reporting', 'Other', 'Social_Closing']"
116435,B1,['Information_Reporting']
118669,B1,"['Social_Opening', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
119725,A1,"['Social_Opening', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Other', 'Other', 'Social_Closing', 'Social_Closing']"
121288,C2,"['Social_Opening', 'Physical_Description']"
122970,C1,"['Social_Closing', 'Other', 'Other', 'Other', 'Narrative_Experience', 'Other', 'Daily_Routine']"
123390,C2,"['Information_Reporting', 'Other']"
127044,A2,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other', 'Daily_Routine']"
127218,B1,"['Other', 'Daily_Routine']"
128269,B1,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Other']"
128788,B1,"['Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Other', 'Information_Reporting']"
129819,A2,"['Social_Opening', 'Self_Introduction', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Self_Introduction', 'Narrative_Experience']"
131480,A1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Information_Reporting']"
132225,C2,"['Information_Reporting', 'Physical_Description', 'Social_Closing']"
135493,C1,['Other']
136667,C1,"['Information_Reporting', 'Physical_Description', 'Information_Reporting', 'Other', 'Social_Closing']"
138461,B1,['Self_Introduction']
139028,A2,"['Social_Opening', 'Information_Reporting', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
142400,C2,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Social_Closing']"
143044,B1,"['Social_Opening', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Information_Reporting', 'Self_Introduction', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
143849,B2,"['Information_Reporting', 'Other', 'Other', 'Information_Reporting', 'Information_Reporting', 'Physical_Description', 'Other']"
144660,A1,['Physical_Description']
145055,C2,"['Information_Reporting', 'Other', 'Information_Reporting']"
146244,B2,"['Information_Reporting', 'Other', 'Information_Reporting']"
148011,B1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
149306,B2,"['Information_Reporting', 'Information_Reporting', 'Other', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Information_Reporting']"
149352,A1,"['Self_Introduction', 'Self_Introduction', 'Other', 'Social_Closing']"
151243,B2,"['Other', 'Information_Reporting', 'Information_Reporting', 'Physical_Description']"
152165,C2,"['Self_Introduction', 'Physical_Description', 'Physical_Description', 'Social_Closing', 'Physical_Description', 'Physical_Description', 'Self_Introduction', 'Physical_Description', 'Physical_Description']"
153311,A1,"['Other', 'Other', 'Other', 'Other', 'Information_Reporting', 'Social_Closing']"
156000,A1,"['Social_Opening', 'Other', 'Self_Introduction', 'Self_Introduction', 'Social_Closing', 'Social_Closing']"
160103,A1,"['Other', 'Other']"
169719,B1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction']"
170600,A2,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description']"
174229,C1,"['Narrative_Experience', 'Daily_Routine', 'Narrative_Experience', 'Information_Reporting', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
176663,B2,"['Information_Reporting', 'Information_Reporting', 'Other', 'Information_Reporting', 'Information_Reporting', 'Social_Closing', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
178719,B1,['Self_Introduction']
180179,C2,"['Social_Opening', 'Other', 'Daily_Routine', 'Social_Closing', 'Daily_Routine', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
180428,C1,"['Social_Closing', 'Social_Opening', 'Other', 'Information_Reporting', 'Opinion_Evaluation', 'Narrative_Experience', 'Other', 'Social_Closing', 'Social_Closing']"
181493,B2,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Opinion_Evaluation']"
184108,C1,"['Information_Reporting', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
186485,A2,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
187261,B1,['Self_Introduction']
188416,B2,"['Self_Introduction', 'Other', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Narrative_Experience', 'Information_Reporting', 'Narrative_Experience', 'Information_Reporting', 'Narrative_Experience', 'Narrative_Experience', 'Self_Introduction', 'Opinion_Evaluation', 'Other']"
188527,C2,['Opinion_Evaluation']
191812,A2,"['Social_Opening', 'Information_Reporting', 'Opinion_Evaluation', 'Daily_Routine', 'Social_Closing', 'Social_Closing']"
194443,B2,"['Other', 'Other', 'Other', 'Narrative_Experience', 'Physical_Description', 'Other', 'Other', 'Physical_Description', 'Daily_Routine', 'Other', 'Physical_Description', 'Physical_Description', 'Opinion_Evaluation', 'Opinion_Evaluation']"
200406,A2,"['Self_Introduction', 'Self_Introduction', 'Other', 'Other', 'Other']"
200963,A1,['Physical_Description']
203259,A1,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description']"
208847,B1,"['Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
213093,A2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
215247,B2,"['Self_Introduction', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Other', 'Physical_Description', 'Physical_Description']"
215308,B2,"['Information_Reporting', 'Social_Closing', 'Information_Reporting']"
215906,A1,['Self_Introduction']
223139,C1,"['Other', 'Daily_Routine', 'Other', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other']"
223379,C2,"['Narrative_Experience', 'Narrative_Experience', 'Social_Closing', 'Narrative_Experience', 'Narrative_Experience', 'Social_Closing', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
225110,C1,"['Other', 'Other', 'Other']"
225514,A2,"['Self_Introduction', 'Daily_Routine', 'Daily_Routine', 'Other', 'Daily_Routine', 'Daily_Routine', 'Other', 'Daily_Routine', 'Daily_Routine']"
229357,C2,"['Other', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Other', 'Physical_Description', 'Physical_Description']"
229816,C1,"['Daily_Routine', 'Daily_Routine', 'Other', 'Other', 'Other', 'Other']"
231011,C1,"['Social_Opening', 'Daily_Routine', 'Daily_Routine', 'Information_Reporting', 'Daily_Routine', 'Daily_Routine', 'Social_Closing']"
231450,A2,"['Social_Opening', 'Self_Introduction', 'Daily_Routine', 'Daily_Routine', 'Opinion_Evaluation', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Opinion_Evaluation', 'Other', 'Daily_Routine']"
233300,A2,"['Social_Closing', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Information_Reporting', 'Self_Introduction', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Daily_Routine', 'Social_Closing']"
233953,A1,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Opinion_Evaluation']"
236551,A2,"['Social_Opening', 'Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Self_Introduction', 'Information_Reporting', 'Opinion_Evaluation']"
241674,A1,"['Information_Reporting', 'Opinion_Evaluation', 'Physical_Description']"
244353,B1,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other']"
247195,A1,"['Social_Opening', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction']"
247295,B1,"['Social_Closing', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other', 'Daily_Routine', 'Other']"
247423,A2,['Narrative_Experience']
248017,B2,"['Physical_Description', 'Social_Opening', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Social_Closing']"
251129,B2,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other']"
256747,C2,"['Other', 'Other', 'Information_Reporting', 'Information_Reporting', 'Other', 'Information_Reporting', 'Physical_Description']"
258962,C1,"['Social_Opening', 'Daily_Routine', 'Social_Closing']"
265098,A2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Social_Closing', 'Information_Reporting']"
266531,B2,"['Social_Opening', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Information_Reporting', 'Social_Closing', 'Social_Closing']"
267129,A1,['Physical_Description']
267488,B1,"['Information_Reporting', 'Information_Reporting']"
270461,C2,"['Self_Introduction', 'Daily_Routine', 'Social_Closing']"
270503,B2,"['Self_Introduction', 'Information_Reporting', 'Physical_Description', 'Daily_Routine', 'Self_Introduction', 'Physical_Description', 'Physical_Description', 'Self_Introduction', 'Physical_Description', 'Physical_Description', 'Opinion_Evaluation']"
272841,C1,"['Information_Reporting', 'Opinion_Evaluation', 'Other', 'Information_Reporting']"
276098,A1,"['Self_Introduction', 'Self_Introduction', 'Physical_Description', 'Physical_Description', 'Opinion_Evaluation']"
277617,C1,"['Other', 'Other', 'Information_Reporting', 'Physical_Description', 'Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Daily_Routine', 'Information_Reporting', 'Social_Closing']"
278915,C1,"['Information_Reporting', 'Other', 'Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
282238,A1,['Physical_Description']
284559,B2,"['Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Daily_Routine', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
289571,A1,"['Self_Introduction', 'Self_Introduction', 'Other', 'Social_Closing']"
293532,C1,"['Other', 'Self_Introduction', 'Information_Reporting', 'Information_Reporting', 'Daily_Routine', 'Information_Reporting', 'Narrative_Experience', 'Daily_Routine', 'Other', 'Social_Closing', 'Social_Closing']"
299490,B1,"['Social_Opening', 'Opinion_Evaluation', 'Other', 'Physical_Description', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
300695,B1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Information_Reporting', 'Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Narrative_Experience', 'Social_Closing']"
307045,C2,"['Social_Closing', 'Daily_Routine', 'Other', 'Information_Reporting']"
307624,B2,"['Self_Introduction', 'Other', 'Narrative_Experience', 'Opinion_Evaluation', 'Narrative_Experience', 'Information_Reporting', 'Opinion_Evaluation']"
308236,B1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Social_Closing']"
308715,C1,"['Other', 'Opinion_Evaluation', 'Other', 'Other', 'Social_Closing', 'Social_Closing']"
310161,B1,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other']"
310310,C2,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Social_Closing']"
310755,C2,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description']"
312825,B1,"['Physical_Description', 'Physical_Description', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
316929,B2,['Other']
319299,B1,"['Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting', 'Social_Opening', 'Information_Reporting']"
320217,A1,['Self_Introduction']
320498,A1,['Self_Introduction']
325146,B1,['Opinion_Evaluation']
331887,C2,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
334092,A1,"['Self_Introduction', 'Self_Introduction', 'Other', 'Social_Closing', 'Social_Closing']"
335721,B1,"['Social_Opening', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
335917,A2,"['Social_Opening', 'Social_Closing', 'Other', 'Social_Closing', 'Social_Closing', 'Social_Closing']"
338519,A2,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
339173,C2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Other', 'Social_Closing', 'Social_Closing']"
339446,C2,"['Social_Opening', 'Other', 'Social_Closing', 'Other', 'Other', 'Other', 'Social_Closing', 'Other', 'Social_Closing']"
339596,B1,"['Social_Opening', 'Other', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
341463,A2,"['Self_Introduction', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other']"
343271,A2,"['Daily_Routine', 'Information_Reporting']"
345099,B2,"['Other', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Social_Closing']"
347837,B1,"['Information_Reporting', 'Information_Reporting']"
349390,B2,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
349478,A2,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Daily_Routine', 'Daily_Routine', 'Opinion_Evaluation', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
350664,B2,"['Social_Closing', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
353346,A2,"['Social_Closing', 'Opinion_Evaluation', 'Daily_Routine']"
361027,B2,"['Information_Reporting', 'Other', 'Social_Closing', 'Physical_Description', 'Information_Reporting', 'Other', 'Information_Reporting', 'Social_Closing', 'Narrative_Experience', 'Daily_Routine']"
363790,A2,"['Information_Reporting', 'Social_Closing']"
364191,B1,"['Social_Opening', 'Opinion_Evaluation', 'Physical_Description', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
374010,C2,"['Other', 'Social_Closing', 'Social_Closing', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Information_Reporting', 'Other', 'Other', 'Social_Closing']"
375266,A2,"['Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Self_Introduction', 'Other']"
375555,A1,"['Social_Opening', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Other', 'Social_Closing']"
380975,C2,"['Other', 'Other', 'Social_Closing', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing', 'Social_Closing']"
381475,A2,"['Information_Reporting', 'Daily_Routine', 'Information_Reporting']"
387549,A1,"['Social_Opening', 'Self_Introduction', 'Other', 'Other', 'Social_Closing', 'Social_Closing']"
388298,A2,"['Social_Opening', 'Physical_Description', 'Social_Closing']"
391446,A2,"['Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting']"
391573,B2,"['Information_Reporting', 'Other', 'Information_Reporting', 'Physical_Description', 'Information_Reporting']"
392148,C2,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Social_Closing']"
392891,B2,"['Social_Closing', 'Opinion_Evaluation', 'Social_Closing', 'Other', 'Social_Closing', 'Information_Reporting', 'Information_Reporting', 'Social_Closing']"
399412,C1,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Physical_Description']"
405796,B2,"['Other', 'Physical_Description', 'Physical_Description', 'Information_Reporting', 'Social_Closing']"
409777,C2,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description']"
411009,B2,"['Social_Opening', 'Other', 'Physical_Description', 'Physical_Description', 'Other', 'Physical_Description', 'Other', 'Other', 'Opinion_Evaluation', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Social_Closing']"
411290,B1,"['Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
412604,A1,"['Social_Opening', 'Self_Introduction']"
415890,A2,"['Self_Introduction', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Self_Introduction', 'Self_Introduction', 'Other']"
417091,C2,"['Information_Reporting', 'Information_Reporting', 'Other']"
418169,A2,"['Self_Introduction', 'Self_Introduction', 'Daily_Routine', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
424337,C2,"['Opinion_Evaluation', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Narrative_Experience', 'Other', 'Narrative_Experience', 'Opinion_Evaluation']"
426596,A1,"['Self_Introduction', 'Self_Introduction', 'Information_Reporting', 'Self_Introduction', 'Other', 'Social_Closing']"
430974,A1,"['Other', 'Other', 'Information_Reporting', 'Information_Reporting', 'Social_Closing']"
433926,B2,"['Social_Closing', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
436762,A2,['Self_Introduction']
439760,B1,"['Other', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Other', 'Social_Closing', 'Social_Closing']"
444663,B2,"['Self_Introduction', 'Other', 'Self_Introduction', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Opinion_Evaluation']"
455457,A1,"['Social_Opening', 'Other', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Social_Closing']"
457945,B1,"['Daily_Routine', 'Daily_Routine']"
459303,A2,"['Narrative_Experience', 'Information_Reporting', 'Information_Reporting']"
462290,B2,['Other']
462548,B2,"['Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Information_Reporting']"
463427,B1,['Information_Reporting']
464215,C2,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description']"
464727,A1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Information_Reporting', 'Information_Reporting']"
465733,C1,"['Narrative_Experience', 'Narrative_Experience', 'Physical_Description']"
466074,B1,['Self_Introduction']
467538,A1,['Other']
470987,A1,['Physical_Description']
471252,A1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Social_Opening', 'Narrative_Experience']"
471763,C2,"['Physical_Description', 'Physical_Description']"
