writing_id,topic_id,task_topic,task_type,essay_text,move_sequence,c2_writing_id,c2_topic_id,c2_task_topic,c2_sequence,c2_structural_summary,edit_distance,feedback_rag,feedback_baseline,feedback_oneshot
1239,3,Writing an online profile,narrative,"Hi My name is Tongjing. I'm thirty-six years old. I'm from Shenyang,in China. Nice to meet you. Bye",Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing,270461,45,Writing on the family blog,Self_Introduction -> Daily_Routine -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Self_Introduction, Daily_Routine, Social_Closing. It begins with Self_Introduction and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
Your current sequence is: Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing. This means you repeat yourself at the beginning and end.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
The advanced writers use a variety of moves, including introducing themselves once, describing their daily routine, and then closing the profile. They avoid repeating information.

ONE THING TO TRY:
Try adding one new piece of information about your daily life after stating your name and age. This will make your profile more interesting and engaging.","Great start! Your essay is short and clear. It's like introducing yourself to a friend. You could add a little more information though, maybe tell us something about your interests or what you enjoy doing. Right now, it’s just basic facts. Keep up the good work with your simple sentences!","Great job starting with ""Hi"" and introducing yourself! You included your name, age, and where you're from. That's a good start! Adding more information like what you do or any hobbies could make your profile more interesting. Maybe you can tell us about a hobby or something you enjoy doing in Shenyang. Keep it simple and friendly!"
1435,4,Describing your family in an email,descriptive,"Hi My name is Diego . I'm twenty-two years old. I'm from Brazil. I live in So Paulo city. These are three in my family: my father, my mother , my sister. see you ! Diego",Self_Introduction -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Closing -> Social_Closing,613957,42,Filling in an arrival card,Information_Reporting -> Information_Reporting -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Information_Reporting, Social_Closing. Repeated runs: Information_Reporting x2, Social_Closing x2. It begins with Information_Reporting and ends with Social_Closing.",5,"YOUR CURRENT STRUCTURE:
You start by introducing yourself four times and then close with a social closing twice.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers usually have a clearer structure with fewer repeated moves.

ONE THING TO TRY:
Try adding one more sentence about your family members, like ""My father is a teacher, and my sister is in high school."" This will help you report information clearly without repeating yourself.","Hi Diego,

Great job writing your email! Here are a few ideas to make it clearer:

1. Start by introducing yourself and where you're from.
2. Say how old you are next.
3. Then, tell us about your family members one by one.
4. End with a friendly greeting.

Your essay is already clear, but organizing it like this will help others understand better. Keep up the good work!

See you soon!","Great job starting with your name and age! Adding where you're from helps set the scene. Next time, try to organize your family members into a sentence or two. For example, ""My family includes my father, my mother, and my sister."" This makes it easier for readers to follow. Keep smiling!"
1455,4,Describing your family in an email,descriptive,"Hi! My name Aline. I have in Brazil, I'm live in Jata Go. I Therteen years old good bey",Social_Opening -> Self_Introduction -> Self_Introduction -> Self_Introduction,339446,46,Writing an email of advice,Social_Opening -> Social_Closing -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Social_Opening, Social_Closing. Repeated runs: Social_Closing x3. It begins with Social_Opening and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
You start by greeting and introducing yourself three times.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically have a clear beginning and ending without repetitive introductions.

ONE THING TO TRY:
Try to introduce yourself just once at the beginning. This will make your email clearer and easier to understand.","Hi there! Your email is a good start. Here are some ideas to make it clearer:

1. Start with your name: ""Hello! My name is Aline.""
2. Tell where you live first: ""I live in Jataí, Brazil.""
3. Add how old you are next: ""I am 13 years old.""

Try putting these parts together like a sandwich:
""Hello! My name is Aline. I live in Jataí, Brazil. I am 13 years old.""

Keep it simple and clear! Great job on trying to write your first sentence.","Great job starting with ""Hi!"" to greet your friend! You’re doing well by introducing yourself. Here’s a small suggestion to make it clearer: add a sentence about your family after saying your name. For example, “I have a happy family here in Brazil.” This helps organize the information better. Keep up the good work!"
1736,7,Writing labels for a clothing store,descriptive,this a light pink t-shirt is 20 dollars. but I think should it is 10 dollars. this a orange dress is 100 dollars. but I think should it is 70 dollars. this a grey dress is 100 dollars. but I think should it is 65 dollars.,Physical_Description -> Opinion_Evaluation -> Physical_Description -> Opinion_Evaluation -> Physical_Description -> Opinion_Evaluation,821279,46,Writing an email of advice,Opinion_Evaluation -> Social_Closing -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation,"The sequence contains 5 moves. It uses these move types: Opinion_Evaluation, Social_Closing. Repeated runs: Opinion_Evaluation x3. It begins with Opinion_Evaluation and ends with Opinion_Evaluation.",3,"YOUR CURRENT STRUCTURE:
You describe clothing items and then give your opinion on their prices.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often start with an opinion before describing the item. This creates a clear sequence of thought.

ONE THING TO TRY:
Start each sentence with your opinion, like ""I think this light pink t-shirt should be 10 dollars."" This helps make your writing clearer and easier to follow.","Great effort! You’ve written labels for three items. To make it clearer and easier to read:

1. Start each label with the item name.
2. Put the price after a comma.

For example:
- This light pink t-shirt is $20.
- This orange dress is $70.
- This grey dress is $65.

Keep up the good work!","Great job! You're doing well by putting prices next to each item. To make it even clearer, try adding ""T-shirt"" after ""light pink t-shirt"" and use a colon (:) before the price, like this: ""Light pink t-shirt: $20."" This helps readers understand each label better. Keep up the good work!"
2172,3,Writing an online profile,narrative,Hi! My name's Hai ping. I'm thirty-seven years old. I like music. How are you? Nice to meet you. Bye!,Social_Opening -> Self_Introduction -> Self_Introduction -> Opinion_Evaluation -> Social_Opening -> Social_Opening -> Social_Closing,1071769,44,Writing a resume,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Social_Opening, Social_Closing. Repeated runs: Social_Opening x2, Social_Closing x2. It begins with Social_Opening and ends with Social_Closing.",4,"YOUR CURRENT STRUCTURE:
You start with a social opening, introduce yourself twice, share your opinion, and end with two more social openings before closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically have a clearer structure with fewer repeated moves. They use social openings at the beginning and end but avoid unnecessary repetition in between.

ONE THING TO TRY:
Try adding one more sentence about your interests or hobbies after introducing yourself, but remove one of the extra social openings you added. This will make your profile更有结构。试着在自我介绍后添加一两句话来表达你的兴趣或爱好，这样可以减少重复，并使你的个人资料更具吸引力。","Great start! Your essay has some good ideas. Here’s a way to organize it better:

Hi! My name's Hai ping.
- Introduce yourself

I'm thirty-seven years old.
- State your age

I like music.
- Share something you enjoy

How are you? Nice to meet you.
- Ask how the other person is and introduce them

Bye!
- Say goodbye

You could add a few more sentences about yourself, but this structure helps organize what you want to say. Keep it up!","Great job! You've started with a friendly greeting and introduced yourself by telling us your name and age. That’s a good start. Next time, you could add more details about what you do or like to do. For example, after mentioning that you enjoy music, you might say what kind of music you like. This will help give us a better picture of who you are. Keep it simple and friendly!"
2698,3,Writing an online profile,narrative,"Hi, My name's Caroline. I'm thirty-four years old. I'm from So Paulo, in Brazil. I like to cook. Nice to meet you. Bye",Self_Introduction -> Self_Introduction -> Self_Introduction -> Opinion_Evaluation -> Social_Opening -> Social_Closing,925415,44,Writing a resume,Information_Reporting -> Information_Reporting -> Social_Closing -> Opinion_Evaluation -> Social_Closing -> Social_Closing,"The sequence contains 6 moves. It uses these move types: Information_Reporting, Social_Closing, Opinion_Evaluation. Repeated runs: Information_Reporting x2, Social_Closing x2. It begins with Information_Reporting and ends with Social_Closing.",4,"YOUR CURRENT STRUCTURE:
You introduce yourself three times and then express your opinion and say goodbye. 

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often provide more information about themselves before closing the conversation.

ONE THING TO TRY:
Add a sentence or two about something interesting you like to do outside of cooking. This can be another Information_Reporting move, giving readers a better idea of who you are.",Great job starting with an introduction! Your essay has a clear start and finish. Here’s a suggestion to make it even better: add some details about why you like cooking or any special recipes you enjoy. This will help people learn more about you. Keep up the good work!,"Great job! You've shared some nice information about yourself. It's good to start with your name and age, like you did. Adding where you're from (So Paulo) helps give a fuller picture. Mentioning that you enjoy cooking is great too, as it tells us something personal about you. Ending with ""Nice to meet you"" shows friendliness. To make it even better, consider putting the cooking information after your location, like this: ""I'm thirty-four years old and from So Paulo in Brazil. I love to cook! Nice to meet you."" This way, you're sharing more details about yourself step-by-step. Keep up the good work!"
2797,1,Introducing yourself by email,narrative,"hi, y'm fine, thanks. my name's Alcione. Y'm 35 years old. nice to meet you Anna. by. Alcione",Social_Opening -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing -> Social_Closing,1071769,44,Writing a resume,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Social_Opening, Social_Closing. Repeated runs: Social_Opening x2, Social_Closing x2. It begins with Social_Opening and ends with Social_Closing.",2,"YOUR CURRENT STRUCTURE:
You start with a social opening, then introduce yourself twice, followed by another social opening and closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically use more variety in their openings and closings, often combining them differently.

ONE THING TO TRY:
Try adding one more social opening at the end of your email. This will help close the conversation smoothly.","Hi Alcione!

Your email is nice and friendly! Here’s a little tip to make it clearer: you could add some short sentences to explain each point. For example:

Hi,
I'm fine, thanks.
My name is Alcione. I am 35 years old.
Nice to meet you, Anna!
Bye.

This helps organize your thoughts better and makes it easier for Anna to understand. Keep up the good work!","Great start! You introduced yourself and mentioned your age. Next time, you could add where you're from or what you do to give more information about yourself. Ending with ""By"" is okay but adding a friendly closing like ""Best wishes"" would be nice too. Keep practicing, Alcione!"
2839,6,Signing up for a dating website,narrative,"My name is Andr and I'm thirty five years old. I'm short and slim. I have short black hair, big mouth and brown eyes. I'm happy.",Self_Introduction -> Physical_Description -> Physical_Description -> Opinion_Evaluation,132225,44,Writing a resume,Information_Reporting -> Physical_Description -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Information_Reporting, Physical_Description, Social_Closing. It begins with Information_Reporting and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
You start by introducing yourself and your age, then describe your physical appearance twice, and end with an opinion about being happy.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically report information first and then provide more details or opinions. The C2 sequence starts with reporting information (like name and age) before describing physical features.

ONE THING TO TRY:
Try starting your essay by saying ""My name is Andr, I am 35 years old,"" followed by one description of yourself, like ""I have short black hair and brown eyes."" This helps set the stage clearly.","Great start! Your essay is clear and tells us about yourself. You could add a little more detail next time to make it even better. For example, you might mention why you're happy or what kind of person you'd like to meet on the dating website. Keep up the good work!","Great job, Andr! Your writing tells us about yourself in a clear way. You start by introducing your name and age, then describe what you look like, and end with how you feel. This is easy to follow. To make it even better, you could group the description of your appearance together before mentioning your feelings. Keep up the good work!"
2875,3,Writing an online profile,narrative,Hi: My name's YaPin. I'm twenty-six years old. I'm from ZheJiang.in China. Nice to meet you. Goodbay,Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing,270461,45,Writing on the family blog,Self_Introduction -> Daily_Routine -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Self_Introduction, Daily_Routine, Social_Closing. It begins with Self_Introduction and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
Your essay starts with three introductions and ends with a social closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
The C2 sequence uses two different moves (Self_Introduction and Social_Closing), while your essay has too many self-introductions at the beginning.

ONE THING TO TRY:
Try including one more move type, like describing something about your daily routine or hobbies. This will make your profile more interesting!","Hi YaPin!

Great job starting your profile! You've introduced yourself and shared where you're from. That's two important parts of a good online profile.

To make it even better, try adding some more details about what you like to do or who you enjoy spending time with. This will help people get to know you better.

Remember, at the end, instead of ""Goodbay,"" you could say ""See you!"" It's a friendly way to close your introduction.

Keep up the good work!","Great job starting with a greeting and introducing yourself! You’ve done well by mentioning your age and where you're from. It's nice that you ended with a friendly message too. To make it even better, you could add some information about what you like to do or any hobbies you have. This will help people get to know you more easily. Keep up the good work!"
2888,2,Taking inventory in the office,descriptive,"Hello! Boss, In the office there are 13 computers and 16 keyboards. Also, there are 30 pens, 15 pencils, 12 desks, 14 chairs, 16 headphones and 1 table. Regards. Ms Thomas.",Social_Opening -> Information_Reporting -> Information_Reporting -> Social_Closing -> Social_Closing,613957,42,Filling in an arrival card,Information_Reporting -> Information_Reporting -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Information_Reporting, Social_Closing. Repeated runs: Information_Reporting x2, Social_Closing x2. It begins with Information_Reporting and ends with Social_Closing.",1,"YOUR CURRENT STRUCTURE:
Your writing starts with a greeting and introduces information about office items in two parts. It then ends with two closings.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often provide a clear introduction before listing the inventory, which gives context to why you are taking the inventory.

ONE THING TO TRY:
Try starting your essay by saying why you are checking the office inventory. For example, ""To ensure everything is in order, we need to take an inventory of all office items."" This is an Information_Reporting move that sets up your list.","Hi Ms Thomas!

Great job listing all the items in the office! Here’s a small tip to make your writing clearer:

You can start with an introduction like “Hello! Boss. In this message, I’m taking inventory of our office.” Then, list the items clearly, for example: ""There are 13 computers and 16 keyboards. Also, there are…”. Finally, end with a friendly closing.

Keep up the good work!","Great job listing all the items in your office! To make it clearer, you could start with a sentence like ""Here is an inventory of our office supplies:"" and then list them. This helps organize your writing better. Keep up the good work!"
