writing_id,cefr_level,topic_id,sentence_index,sentence,cluster_id,cluster_id_v2
153311,A1,2,0,"Dear boss, There are 30 pens in our office.",19,-1
153311,A1,2,1,There are 15 pencils in our office.,19,-1
153311,A1,2,2,There are 12 desks and 14 chairs.,19,-1
153311,A1,2,3,There are 16 keyboards and 16 headphones.,19,-1
153311,A1,2,4,There is one table.,19,30
153311,A1,2,5,"Best regards, Thomas",-1,5
1052344,A1,1,0,Good evening.,0,1
1052344,A1,1,1,How ereSPare you?,0,-1
1052344,A1,1,2,"I'm fine, thanks.",10,-1
1052344,A1,1,3,We're busy.,5,35
1052344,A1,1,4,Good nightPU.,0,1
660906,A1,2,0,"Dear Ms Thomas, RS There are thirty pens, fifteen pencils, twelve desks and fourteen chairs in the office.",19,-1
660906,A1,2,1,"RS There are also thirteen computers, sixteen keyboards, sixteen headphones and also there is one table.",19,-1
660906,A1,2,2,"RS Greetings, RS Andrs.",9,8
486871,A1,2,0,Dear Ms Thomas: There are 13 computers and 16 keyboards in the office.,19,-1
486871,A1,2,1,"Also, there are thirth pens and fifteen pencils and twelve desks in the office.Then there is one table and fourteen chairs and sixteen computers in the office.What do I need buy?",19,-1
486871,A1,2,2,ShuangLue,-1,8
532209,A1,4,0,Hi Maria!,-1,1
532209,A1,4,1,Nice to meet you.,-1,-1
532209,A1,4,2,My name is Emily.I'm thirty years old.I'm from Sichuan in China.I live in Chengdu.I am a office worker.,25,3
532209,A1,4,3,"My family is four people.My mother,my father,my sister and I.My mother is fifty-one and my father is fifty-seven.My partents live in Nanchong.My sister is twenty-seven years old.She also live in Chengdu.",20,25
532209,A1,4,4,see you!,10,16
532209,A1,4,5,Emily,26,8
568121,A1,2,0,"Dear Ms Thomas, You have to buy all these below: Thirty pens; Fifty pencils; Twelve desks; Fourteen chairs.",19,-1
568121,A1,2,1,Now in the office there are: Thirteen computers; Sixteen keyboards; Sixteen headphones and there is OneCone table.,19,-1
568121,A1,2,2,Thanks Vini,-1,5
776718,A1,2,0,"Dear Ms Thomas, There are 13 computers and 16 keyboards in the office.AS Also,AS there are 12 desks RS,AS 14 chairs and 16 headphones in the office.AS There is one table in it RS.AS On the table RS,AS there are 30 pens and 15 pencils.%%",19,-1
119725,A1,3,0,Hi !,12,1
119725,A1,3,1,My name's Enrico.,27,2
119725,A1,3,2,"I'm from Cremona, Italy.",11,3
119725,A1,3,3,I'm thirty-two years old.,20,24
119725,A1,3,4,I like go motorcycle.,7,23
119725,A1,3,5,How are you ?,0,-1
119725,A1,3,6,Nice to meet you !,-1,-1
119725,A1,3,7,Goodbye.,2,0
119725,A1,3,8,Enrico.,26,8
952980,A1,1,0,Good evening.,0,1
952980,A1,1,1,How are you?,0,-1
952980,A1,1,2,"I'm fine, thanks.",10,-1
952980,A1,1,3,We're busy.,5,35
952980,A1,1,4,Good night.,0,1
320217,A1,3,0,"hiCHi!myCMy name'sXCname is Lucas.i'mCI'm twenty-seven years old.i'mCI'm from Guarapuava, in Brazil.Nice to meet you.Bye!",25,3
811671,A1,6,0,"MWHi, The pastaCPasta House is a good restaurant.",28,39
811671,A1,6,1,"They have hamburgers, noodles, soup meatWOmeat soup , soup chickenWOchicken soup and drinks.",28,39
811671,A1,6,2,There isAGare deliciusSPdelicious SweetsCsweets and it is not expensive.NS Hope you like it.,28,39
811671,A1,6,3,"Bye, your name",2,0
1117224,A1,6,0,The Center restaurant is a really good restaurant.,28,39
1117224,A1,6,1,The food is delicious.,28,39
1117224,A1,6,2,It has fresh fish.,-1,39
1117224,A1,6,3,The people are friendly.,-1,29
849324,A1,5,0,Hi: My name's WuliPU.,27,2
849324,A1,5,1,I'm forty-fourPU.,20,24
849324,A1,5,2,I'm from China COand I live in Anqingshi AnhuishiPU.,25,3
849324,A1,5,3,I work in an office COand I'm a managerPU.,21,42
849324,A1,5,4,I like my jopSPjobPU.,21,-1
849324,A1,5,5,"GoodbyePU, Wu liCLi",2,0
467538,A1,2,0,30 pens 15 pencils 12 desks 14 chairs 13 computers 16 keyboards 16 headphones 1 table,19,-1
533756,A1,5,0,"Hi, my name's Raimundo.",27,2
533756,A1,5,1,I'm twenty-three years old.,20,24
533756,A1,5,2,"I'm from Brazil, and I live in Bahia.",11,3
533756,A1,5,3,I'm an engineer and work in an office.,21,42
533756,A1,5,4,Nice to meet you.,-1,-1
533756,A1,5,5,See you.,10,16
550755,A1,1,0,"HiPU, Teacher,PU.",-1,15
550755,A1,1,1,"myCMy name is Alisson,PU.",27,2
550755,A1,1,2,"I live in Brazil,PU.",11,3
550755,A1,1,3,"mayWCMy age is 22 yearsMW old,PU.",-1,24
550755,A1,1,4,"I know very little EnglishPU, but I'm eager to learn,PU.",-1,15
550755,A1,1,5,myCMy goal is to get the course in fluency that will help me at work.%%,-1,-1
1147330,A1,1,0,Good evening.,0,1
1147330,A1,1,1,How are you?,0,-1
1147330,A1,1,2,"I'm fine, thanks.",10,-1
1147330,A1,1,3,We're busy.,5,35
1147330,A1,1,4,Good night.,0,1
616684,A1,6,0,"HelloPU, Jane,PU.",-1,15
616684,A1,6,1,howCHow are you?,0,-1
616684,A1,6,2,RS It is a pleasure to have you as the new Finance Manager at Sound and Vision TV.,21,42
616684,A1,6,3,"RS Further to our last telephoneWCtelephonic conversationPU, I would like to invite you to begin MWyour work with us on theD next Monday, August 30th.PU, ButCbut before that I would like to as,D you to come to the company next Friday.",21,-1
616684,A1,6,4,When I will introduce you the office and who you will work withEX to introduce your office and the people you are going to work with.,21,42
616684,A1,6,5,"This appoitmentSPappointment will takeWCbe from 11a.m to 1 p.m, and it will be followed by a lunch with the new team.",24,20
616684,A1,6,6,"RS As you might know Sound and Vision TV is a 30-DAS yearPLyears-DAS old company, that have been awarded for many works and is known in the whole world for its fantastic movies and works.",21,42
616684,A1,6,7,RS It is a pleasure to have you here as our new Finance Manager.,21,42
616684,A1,6,8,"RS Best regards, RS Bruno Patricio",-1,5
920337,A1,4,0,I work with Antonio.,21,-1
920337,A1,4,1,He's from Napoli.,-1,3
920337,A1,4,2,He's forty-one years old.,20,24
920337,A1,4,3,He's tall and has brown heSPair and eyes.,1,4
920337,A1,4,4,He's always busy.,5,35
920337,A1,4,5,GoodbaySPye.,0,-1
930647,A1,2,0,"In the office, there is a kitchen.",19,30
930647,A1,2,1,There isWC and a coffeSPcoffee machine.,-1,-1
930647,A1,2,2,There are aD offices and theD desks.,19,30
930647,A1,2,3,There are four elevators.,19,30
930647,A1,2,4,There are a lot of people and there are a lot of computers and phones.,19,30
930647,A1,2,5,There are a lot of chairs.,19,30
499939,A1,3,0,Minutes Shelly contacts to Alison from Big hat for asking her about their rquirement for next meeting.,21,27
499939,A1,3,1,Alex and his team brainstorm some possible ideas for the advertisement by next wek metting Sam books a 18 tables of Japanease reastrant for office party on end of month,21,-1
471252,A1,5,0,"My name is Carlos tovarCTovar, I am 24 years old,PU.",25,24
471252,A1,5,1,"I am an engineer, I MWwasborn in Monterrey, Mexico.",21,3
471252,A1,5,2,DThe name of my street is San Juan and the name of my colony is Balcones de Sto.,11,2
471252,A1,5,3,"Domingo,PU.",11,15
471252,A1,5,4,there growth during my childhood since actuallyXCI spent all my childhood there.,11,28
969194,A1,6,0,There is a restaurant on theD No# street.,29,38
969194,A1,6,1,The restaurant has so much delicious food.,28,39
969194,A1,6,2,The steak is very great.,28,39
969194,A1,6,3,And the pasta is nice.,28,39
969194,A1,6,4,"I like the vegetable salad and fruit juice,AS because they are very fresh.",28,39
969194,A1,6,5,"I like the dessert RS,AS it isn't too sweet.",28,39
969194,A1,6,6,"And there are some other food, hamburgerPLhamburgers.",28,39
969194,A1,6,7,"PU, sandwichPLsandwiches.PU,  fries.",28,39
969194,A1,6,8,"PU, pizza and rice.",28,39
969194,A1,6,9,There is chineseCChinese food.,28,39
969194,A1,6,10,Perhaps you will like it.,10,16
131480,A1,5,0,"Hello, my CMy name is Nayron.",27,2
131480,A1,5,1,I'm 26 years old.,20,24
131480,A1,5,2,"I'm from Teresina, Brazil but I live in Natal.",11,3
131480,A1,5,3,I'm a business intelligence analyst and I work in a ARthe TI department in a UniversityCuniversity.Bye!,21,42
786676,A1,6,0,"heyCHey my dear, RS I know a good restaurant in down town RS!PU.",28,39
786676,A1,6,1,"itsEXIt's called restaurant city.AS They have really fresh salads and very delicious dessert.AndCO, and itsEXit's not expensive.",28,39
848804,A1,5,0,HIEXHi!PU!,12,15
848804,A1,5,1,"Im Qiujian RS.MWI amAS 30 years old,PU.",21,24
848804,A1,5,2,"MWI come from Guizhou and MWI live in Liupanshui,PU.AS I'm a worker,PU.AS iCI like my job?PU.",21,3
1035386,A1,3,0,"Mexico city is big, an old, has a parckSPpark yDMWand very expensive shops.",-1,37
1035386,A1,3,1,Mexico is a greadSPgreat cityPU.,-1,3
144660,A1,2,0,The code of conduct - abide by the dress code - obey all of the health and safety codes - arrive to work on time - use the smoking area - keep your workspace neat and tidy - don't disclose confidential infomation - don't discriminate against other staff members - don't disturb colleages with loud music,6,14
375555,A1,3,0,hi!,12,1
375555,A1,3,1,My name's Carlos Gil.,27,2
375555,A1,3,2,I'm fifteen years old.,20,24
375555,A1,3,3,"I'm from Margarita, in Venezuela.",11,3
375555,A1,3,4,nice to meet you.,-1,-1
375555,A1,3,5,bye!,2,0
160103,A1,2,0,"Dear Ms Thomas, There are 13 computers and 16 keyboards in the office, Also, there are 30 pens and 15 pencils.",19,-1
160103,A1,2,1,"on the other hand there is a table and there are 16headphones, 12 desks and 14 chairs Best regards & thanks Xiaohua",19,-1
1187904,A1,2,0,"This is my office, there are a few pwopleSPpeople.",19,30
1187904,A1,2,1,"There are two restrooms, there is a kitchen, there are some desks and some chairs.",19,30
949171,A1,1,0,Good evening.,0,1
949171,A1,1,1,How are you?,0,-1
949171,A1,1,2,"I'm fine, thanks.",10,-1
949171,A1,1,3,we'reCWe're busy.,5,35
949171,A1,1,4,goodCGood nigthSPnight.,0,-1
80521,A1,8,0,"Hi,my friends,thanks for your's emall.",12,5
80521,A1,8,1,"This the menu: Main course are rice,vegetables and chikens.",28,39
80521,A1,8,2,Dessert is the cheese and ice cream.,28,39
80521,A1,8,3,Waiting for your coming.,10,16
80521,A1,8,4,See you later.,10,16
1071816,A1,4,0,"Maria is my friend, we work in the same office.",17,-1
1071816,A1,4,1,"She has a Ddark courlyWCcurly dark hair and brown eyes, she's tall and thin.",1,4
872730,A1,5,0,"I usually buy my clothes in small shops, but I like to buyWCshopping in department stores and online stores too.",-1,-1
526128,A1,2,0,"Dear Ms. Thomas, There are 13 computers and 16 keyboards in the office.",19,-1
526128,A1,2,1,"Also, there are 13 pens, there are 15 pencils, there are 12 desks, there are 14 chairs, there are 13 computers, there are 16 keyboards, there are 16 headphones and 1 table.",19,-1
1071414,A1,5,0,"iCI always go to small shoopsSPshops.AS The ClothesCclothes are beatifulSPbeautiful.AS Small shoopsSPshops are always expensive, but there are a lot of sales.AS The sales assistants are always friendly.AS I never shoopSPshop online.AS I never go to big department stores.",-1,-1
282238,A1,6,0,Xiao yun 23 Black and long hair Big and brown eyes I'm tall and slim.I'm happy.,1,4
464727,A1,1,0,"Hello, My name is Nawal.",27,2
464727,A1,1,1,I am saudi.,11,3
464727,A1,1,2,I live in Gizan.I am 30.,11,24
464727,A1,1,3,My phone number is 789 3456.,-1,27
464727,A1,1,4,I study English in EF.,-1,43
113866,A1,6,0,Name: Sergey Gusev Age: 43 Color hair: brown Color eyes: grey Describe youself: I am fat and short.,1,4
113866,A1,6,1,"I have short brown hair, grey eyes and big ears.",1,4
113866,A1,6,2,I am happy.,-1,29
156000,A1,1,0,Hello!,12,1
156000,A1,1,1,How are you!,0,-1
156000,A1,1,2,My name's Jiangang Liu.,-1,2
156000,A1,1,3,I'm 47 years old.,20,24
156000,A1,1,4,Bye!,2,0
156000,A1,1,5,Jiangang Liu.,-1,8
600620,A1,7,0,I really like my jeans.,6,14
600620,A1,7,1,I also like my jacket and t-shirt.,6,14
600620,A1,7,2,I like MWto use my boots and my sneakers.,6,14
600620,A1,7,3,I like my dark green t-shirt and dark red shirt.,6,14
600620,A1,7,4,RS I like my white socks.,6,14
600620,A1,7,5,I use my jeans everyWCall the time time.%%,6,14
1192006,A1,3,0,"Vitria city is small,AS crowded and busy.AS In Downtown MWthere is a lot of shops and restaurants.Vitria is a beautiful city!",30,37
528748,A1,1,0,My name's Renata.,27,2
528748,A1,1,1,Nice to meet you .,-1,-1
528748,A1,1,2,My word is in Japan.,11,3
528748,A1,1,3,Word is factory.,21,42
528748,A1,1,4,I'm 30 old.,20,24
528748,A1,1,5,I'm brazilian.,11,3
412604,A1,1,0,HiPU!,-1,15
412604,A1,1,1,"teacher, my CMy name''s Viviana.How are you?I''m from Brazil, Santa CatarinaPU.,my PSIPSlivecity is DPRinCanoinhas.PScity.I have PSam37 years old, I''m marid SPmarriedandPSI have one childrenSIchild..I love PStostudy englishCEnglish.By, by.WCBye bye.",25,3
1006935,A1,5,0,"I always mall for shopWOshop in the mall , the clothes isWCare  beatifulSPbeautiful.",28,17
1006935,A1,5,1,InD theCThe malSPmall MW is not expensivSPexpensivePU.,21,18
778978,A1,8,0,Hi!,12,1
778978,A1,8,1,"This is the menu...D I intend PRto prepare for dinerWCdinnerMW are as follows,PU: rice, some vegetables with chicken, and toPRfor dessert we will have chocolate cake and ice cream.",28,39
778978,A1,8,2,I hope you like.,10,16
778978,A1,8,3,RS See you soon.PU!,10,16
843093,A1,1,0,Good evening.,0,1
843093,A1,1,1,How are you?,0,-1
843093,A1,1,2,RS I'm fine!,10,-1
843093,A1,1,3,Thanks.,-1,5
843093,A1,1,4,We're busy.,5,35
843093,A1,1,5,Good night.,0,1
559783,A1,5,0,"Hi,AS I'm wupingSPwiping,AS I'm thirty-seven,AS I'm from ChiaSPChina.AS I live in China RS.AS I'm a senior agronomist.",25,3
559783,A1,5,1,lCL like my job because it's very interesting.,21,-1
978252,A1,4,0,"I have a friend, Julian.",17,-1
978252,A1,4,1,"HisWCHe's tall, he has long and brown hair, and also has brown eyes.",1,4
978252,A1,4,2,"He's beutifulSPbeautiful, and funny.",21,-1
978252,A1,4,3,He's always smiling.,-1,29
978252,A1,4,4,Sometimes he's lazy and sometimes he's hardworking.,21,36
978252,A1,4,5,I like him.,21,-1
507288,A1,1,0,theater office actor football spain,-1,8
455457,A1,3,0,Hi!,12,1
455457,A1,3,1,Nice to meet you too.,-1,-1
455457,A1,3,2,My name's Gerlando.,27,2
455457,A1,3,3,I'm Thirty-six years old.,20,24
455457,A1,3,4,"I'm from Fortaleza, in Brazil.",11,3
455457,A1,3,5,"But, I'm live in Campinas, Brazil.",11,3
455457,A1,3,6,See you!,10,16
932541,A1,2,0,"inPRAt mayPOmy work, therSPthere are some offices, there areD a lot of meeting rooms, there areD some restrooms, there areD a lot of desks and chairs, MWand a few windowPLwindows.",19,30
203259,A1,7,0,This light pink jacket is forty-five.,6,17
203259,A1,7,1,This dark orange dress is thirty.,6,17
203259,A1,7,2,This dark pink pant is fifteen.,6,17
203259,A1,7,3,This black dress is forty.,6,17
203259,A1,7,4,These shirts are sixty.,6,17
203259,A1,7,5,These skirts are twenty.,6,17
203259,A1,7,6,These bags are fifty.,6,17
203259,A1,7,7,These light blue shoes are one hundred.,6,17
203259,A1,7,8,These dark grey pants are twenty-five.,6,17
203259,A1,7,9,This light grey pant is thirty-three.,6,17
203259,A1,7,10,These belts are ten.,6,17
203259,A1,7,11,These collars are eleven.,6,17
853586,A1,2,0,"In the office, there are a lot of computers.",19,30
853586,A1,2,1,There are some keyboardPLkeyboards with mouse and desks.,19,30
853586,A1,2,2,"There are a lot of plants,WC and some chairs.",-1,37
853586,A1,2,3,RS There is a hallwayPU.,9,30
430974,A1,2,0,"Dear Ms Thomas I have the inventory There are 30 pens and 15 pencils, also there are 12 desks and there are 14 chairs.",19,-1
430974,A1,2,1,"We have other things, there are 13 computers, 16 keyboard and there are 16 headphones.",19,-1
430974,A1,2,2,Finally there is one table.,19,30
430974,A1,2,3,"If you have any question, please send me a email.",21,27
430974,A1,2,4,Monica,26,8
149352,A1,1,0,"Goodmorning, my name's Fabio Bellotta.",27,2
149352,A1,1,1,I'm living in Italy.,11,3
149352,A1,1,2,I've need to learn English language very well; but i don't have much time to dedicate the study in the classroom; so i've decide to buy this course on line.,-1,-1
149352,A1,1,3,I hope I haven't made many errors.,10,35
685583,A1,2,0,"Dear Miss susicCSusic: There are 13 computers RS,AS 16 keyboards and headphones in our office.AS Also,AS there are 12 desks and one table.",19,-1
685583,A1,2,1,There are 30 pens and 15 pencils.,19,-1
536955,A1,7,0,I like my blue shirt and white shirt.,6,14
536955,A1,7,1,I like jeans and t-shirt.,6,14
536955,A1,7,2,"I like white socks, blue and white t- shirts.",6,14
536955,A1,7,3,I like really blue wear and black shoes.,6,14
1041587,A1,3,0,"I'm from inner Mongolia,AS iCI live in a small city.",-1,3
1041587,A1,3,1,It's a quiet place.,-1,-1
1041587,A1,3,2,The weather is cold.,3,26
1041587,A1,3,3,We always can see the blue sky.,-1,-1
1041587,A1,3,4,There are railways near my house.AS I like the city.,30,38
787634,A2,9,0,My name is Flvia.AS I live in Brazil.,25,3
787634,A2,9,1,My day is very good.,-1,-1
787634,A2,9,2,I get up at 9 in the morning.,24,21
787634,A2,9,3,I check MWmy emails.,21,27
787634,A2,9,4,I have lunchaSPlunch at noon.,24,20
557762,A2,13,0,Welcome to my house.,-1,30
