writing_id,topic_id,task_topic,task_type,RAG_specificity,RAG_specificity_raw,RAG_helpfulness,RAG_helpfulness_raw,RAG_validity,RAG_validity_raw,Baseline_specificity,Baseline_specificity_raw,Baseline_helpfulness,Baseline_helpfulness_raw,Baseline_validity,Baseline_validity_raw,One-shot_specificity,One-shot_specificity_raw,One-shot_helpfulness,One-shot_helpfulness_raw,One-shot_validity,One-shot_validity_raw
4127,2,Taking inventory in the office,descriptive,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.8,"[3, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
4214,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",2.4,"[2, 2, 2, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
4275,4,Describing your family in an email,descriptive,3.0,"[3, 3, 3, 3, 3]",2.2,"[2, 2, 2, 2, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
4636,1,Introducing yourself by email,narrative,3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.6,"[3, 3, 2, 3, 2]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
4668,5,Updating your online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
4671,8,Making a dinner party menu,descriptive,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]"
4920,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.2,"[3, 3, 3, 4, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.6,"[4, 4, 3, 4, 3]"
5274,1,Introducing yourself by email,narrative,3.0,"[3, 3, 3, 3, 3]",2.8,"[2, 3, 3, 3, 3]",2.8,"[3, 3, 3, 2, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]"
5280,5,Updating your online profile,narrative,4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",1.2,"[2, 1, 1, 1, 1]",2.0,"[2, 2, 2, 2, 2]",3.8,"[4, 4, 4, 3, 4]",3.0,"[3, 3, 3, 3, 3]",3.6,"[4, 3, 4, 3, 4]"
5291,7,Writing labels for a clothing store,descriptive,2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]"
5326,4,Describing your family in an email,descriptive,2.0,"[2, 2, 2, 2, 2]",1.0,"[1, 1, 1, 1, 1]",1.0,"[1, 1, 1, 1, 1]",1.0,"[1, 1, 1, 1, 1]",2.0,"[2, 2, 2, 2, 2]",1.6,"[2, 1, 2, 2, 1]",2.0,"[2, 2, 2, 2, 2]",1.0,"[1, 1, 1, 1, 1]",1.0,"[1, 1, 1, 1, 1]"
5423,1,Introducing yourself by email,narrative,3.8,"[4, 3, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
5485,6,Signing up for a dating website,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.8,"[4, 4, 4, 3, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
5511,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.2,"[2, 2, 2, 2, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.4,"[3, 3, 3, 4, 4]"
5700,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",2.6,"[3, 2, 3, 3, 2]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
5724,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
5726,5,Updating your online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
5778,6,Signing up for a dating website,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]"
5819,1,Introducing yourself by email,narrative,3.2,"[3, 3, 3, 4, 3]",2.8,"[3, 3, 3, 2, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]"
5918,1,Introducing yourself by email,narrative,4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.4,"[2, 2, 2, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
5983,1,Introducing yourself by email,narrative,3.2,"[4, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]"
5984,2,Taking inventory in the office,descriptive,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
6087,1,Introducing yourself by email,narrative,3.2,"[3, 4, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.4,"[3, 2, 2, 3, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
6227,8,Making a dinner party menu,descriptive,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.8,"[4, 4, 4, 3, 4]"
6381,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.4,"[2, 2, 3, 2, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
6430,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
6473,8,Making a dinner party menu,descriptive,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.8,"[4, 4, 4, 4, 3]",3.0,"[3, 3, 3, 3, 3]"
6636,1,Introducing yourself by email,narrative,3.8,"[4, 4, 3, 4, 4]",3.0,"[3, 3, 3, 3, 3]",2.4,"[2, 2, 3, 3, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
6800,4,Describing your family in an email,descriptive,2.8,"[3, 3, 3, 3, 2]",2.2,"[2, 3, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
7259,7,Writing labels for a clothing store,descriptive,2.0,"[2, 2, 2, 2, 2]",1.0,"[1, 1, 1, 1, 1]",1.0,"[1, 1, 1, 1, 1]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",1.4,"[1, 1, 1, 2, 2]",2.0,"[2, 2, 2, 2, 2]",1.0,"[1, 1, 1, 1, 1]",1.0,"[1, 1, 1, 1, 1]"
7473,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
