writing_id,cefr_level,topic_id,sentence_index,sentence
698986,B1,20,3,People all over the world come to Brazil to watch this wonderful show.
1140203,B1,20,0,"Lantern festival is my favorite,AS this festival lastAGlasts for one day."
1140203,B1,20,1,"In Taiwan childPLchildren take LanternClantern parade PRon streetPLstreets atPRin the night,PU."
1140203,B1,20,2,"And ARthe GovernmentCgovernment make a big part with all people celebrationWCtakes part in the celebration with the people,PU."
1140203,B1,20,3,I am Deat RiceCrice balls with family on theWCthat night.
244353,B1,18,0,In Monday I get up at 9:00am o'clock.
244353,B1,18,1,I eat breakfast at 10:30am o'clock.
244353,B1,18,2,I play football at 5:00pm o'clock.
244353,B1,18,3,I watch TV at 8:15pm o'clock.
244353,B1,18,4,I go to bed at 11pm o'clock
347837,B1,20,0,Hi Jane.My house is on Green Avenue.
347837,B1,20,1,"Go straight ahead on Liverpool Road, turn left on Green Avenue, PS and my home is opposite the park."
316929,B2,25,0,I live in turkey.I am a businessman.I like my job.It's very exciting for me.I usually go on business trips.Our company produce leather garments.We are selling our product to europe.I get plane on business trips.I always have meetings.There are twelve employer my company.
101275,B2,27,0,"Hi JanePU,I am planning a party in JunePU,  on Sunday 12th,PU at 11am.PU Because Dit's CIt's my birthday.PU I am sending invitations to 10 of my friends and I hope they are all coming.PU I am cleaning the swimming pool and house.PU I prepare XCwill organizejuice,PU cola,PU fruits and salad.PU Mary is making a cake andshe is bringing some candysSPcandies.PU Jason prepared XCwill plantwo party games.I hope you can come.Jake"
307624,B2,30,0,My Name is Gaby.
307624,B2,30,1,I was born in 1974.
307624,B2,30,2,I started primary school in 1981.
307624,B2,30,3,"When I was young I played the piano but I stopped playing the piano, because the teacher was too expensive and my parents don't wont to pay the price."
307624,B2,30,4,After scholl I started working in 1991.
307624,B2,30,5,Now I'm a secretary and I have changed my jobs many times.
307624,B2,30,6,I don't like my job.
70043,B2,31,0,"Dear Julia, I'm very angry because I did most of the chores this week."
70043,B2,31,1,Let me tell you what I did this week.
70043,B2,31,2,On monday CMonday MWI did the laundry and ironing.
70043,B2,31,3,On Tuesday swept and mop VTmopped the floor.
70043,B2,31,4,I washed the dishes on wednesday CWednesday morning.
70043,B2,31,5,I did the shopping ARthe next day.
70043,B2,31,6,On Friday I was very tired.
70043,B2,31,7,So the next day I washed my car because it was very dirty.
70043,B2,31,8,So my flat is clean now but I had to work very much.
700597,B2,27,0,thereCThere was a murder in my city last montheSPmonth in albaha CAlbaha street.
700597,B2,27,1,someoneCSomeone killed a woman.
88932,C1,35,0,"Yes, Jeff is right."
88932,C1,35,1,The monkeys are so cute!
88932,C1,35,2,They very playful.
88932,C1,35,3,They like bananas.
88932,C1,35,4,The monkeys are smaller than most safari animals.
88932,C1,35,5,"They are smaller than lions, giraffes, tigers and also elephants."
88932,C1,35,6,"I like monkeys, but I don't want Dhave one."
88932,C1,35,7,I think they are very noisy.
970288,C1,36,0,"Hello Jenny, i'mSPI'm writing to you from my house, due toWCbecause  iCI want to goMW on a  vacation for one Da week."
970288,C1,36,1,"youCYou asked me about my routine,AS well... in CIn the morning RS, iCI often water the plants at 8 am and feed the birds everyday.AS onCOn Tuesday and Thursday PU, you also WCneed to check water for birds RS.AS ifCIf the weather not inWCthere is no  rain, the dogs like to go for a walk twice a day.%%i often play games with them RS,AS it's very funny RS.AS inCIn the afternoon, iCI will feed the fish three times a week.AS feedCFeed the dogs often in the night everyday but trash on Tuesday night.AS cleanCClean the house and sweep the floor twice a week."
231011,C1,36,0,"Hi, John!"
231011,C1,36,1,"It's your plan on aEXschedule task for this week.You need ISto water the plants every day, water you'll findEXyou can get the water in XCfrom the kitchen."
231011,C1,36,2,"AlsoIS, you must walk the dogs twice time D a day."
231011,C1,36,3,Don't forget ISto play with dogs but not ISin a rainy day.
231011,C1,36,4,"Every dayIS, you need ISto feed the dogs at night and birds at 9 am."
231011,C1,36,5,Don't forget to check the water ISfor birds three time XCtimes  on XCin a week.
231011,C1,36,6,"ByeIS,Andrew"
229816,C1,38,0,"Title: Day the Day with Maxwell Author: John Maxwell Type of story: Improve your Life Setting: offices, room etc."
229816,C1,38,1,"Main characters: John Maxwell Plot: days of the year John Maxwell wrote a very good book called, Day the Day with Maxwell."
229816,C1,38,2,"It is a true story, that began when Maxwell was young."
664419,C2,45,0,We identify a problem for our business.
664419,C2,45,1,The customer reclaimed the treatment of one employesSIemployee.
664419,C2,45,2,We can't permit this situation occurs again and is necessary MWto lay off this employeSPemployee.
664419,C2,45,3,Our differencialSPdifferential is the treat that we give to them and we don't have other choose.
664419,C2,45,4,In first place WeCwe have theWCto send thisPLthese questions forWCto the HR departamentSPdepartment for the necessary providences.
664419,C2,45,5,For hteSPthe new employeSPemployee I think that he have this salient characteristic to treat the people.
664419,C2,45,6,"This is concern, but is necesarySPnecessary."
664419,C2,45,7,Regards; CEO
380975,C2,48,0,"Hi, I'm fine thank you."
380975,C2,48,1,"Oh, it's going to be great to meet you again."
380975,C2,48,2,"But, on Tuesday I will be busy on lunch time, I already have plans."
380975,C2,48,3,"But, what do you think about dinner?"
380975,C2,48,4,"We can meet at that good, old restaurant nearby my work."
380975,C2,48,5,It will be awesome.
380975,C2,48,6,"So, if you are free let me know it."
380975,C2,48,7,Sincerely.
380975,C2,48,8,Barbara Cristina
1197034,C2,41,0,"SubjetcSPSubject: Summary of the meeting of parents Dear educational coordinator, Here's a summary of the meeting: * Then they said DtheCThe parents MWasked onPRabout the educational development of Debby."
1197034,C2,41,1,MWI ExplainVTexplained that she is struggling to keep up with the activities.
1197034,C2,41,2,* MWThey AlsoCalso questioned about adapting PRto the new class.
