writing_id,topic_id,task_topic,task_type,essay_text,move_sequence,c2_writing_id,c2_topic_id,c2_task_topic,c2_sequence,c2_structural_summary,edit_distance,feedback_rag,feedback_baseline,feedback_oneshot
1940,6,Signing up for a dating website,narrative,Name: Marco Migliorini Age: 31 Hair Color: Brown Eye Color: Brown-Green Describe yourself: I am tall and slim. I have a big mouth and a big nose. I have a normal size ears. I have long legs and big feet. I am happy.,Physical_Description -> Other -> Physical_Description -> Physical_Description -> Opinion_Evaluation,132225,44,Writing a resume,Information_Reporting -> Physical_Description -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Information_Reporting, Physical_Description, Social_Closing. It begins with Information_Reporting and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
You describe yourself physically three times and then say you are happy.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically start with describing their physical appearance once, followed by an opinion or evaluation about themselves.

ONE THING TO TRY:
Start your description by mentioning your height and build just once, like ""I am tall and slim."" Then share your opinions or feelings afterward. This will help organize your thoughts better.","Great job, Marco! Your essay has some good points. Here’s a suggestion to make it clearer:

1. Start by telling us about yourself in one sentence.
2. Then, talk about what you look like.
3. Finally, say how you feel.

For example:
""I am 31 years old and happy. I have brown hair, brown-green eyes, and am tall and slim. I also have a big mouth, a big nose, normal-sized ears, long legs, and big feet.""

Keep it simple and straightforward!","Great job, Marco! You're doing well by telling us about yourself in a clear way. It's good that you included your name, age, and physical description. Next time, try grouping similar information together to make it easier to read. For example, put all the physical details like hair color, eye color, height, and weight in one place. Keep up the good work!"
2064,1,Introducing yourself by email,narrative,"HI teacher, I'm Ricardo have 47 years old. I live in Rio de Janeiro and is a very nice place I single and live alone, don't have dog. In Rio is very hot but I like so much, so I hope do you like this. Thank's.",Self_Introduction -> Self_Introduction -> Information_Reporting -> Social_Closing,603194,41,Writing a movie plot,Information_Reporting -> Information_Reporting -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Information_Reporting, Social_Closing. Repeated runs: Information_Reporting x2. It begins with Information_Reporting and ends with Social_Closing.",2,"YOUR CURRENT STRUCTURE:
You start by introducing yourself twice and then give some information about where you live and your personal details. You end with a social closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically report more information in one go rather than repeating the same move multiple times.

ONE THING TO TRY:
Try to combine your self-introduction into one sentence, like this: ""Hello teacher, my name is Ricardo and I am 47 years old."" This will make your email clearer and more concise.","Hi Ricardo,

Great job introducing yourself! Here’s a little advice to make it even clearer:

1. Start with ""Hello teacher, my name is Ricardo.""
2. Add ""I am 47 years old."" next.
3. Then say ""I live in Rio de Janeiro and I really like it there.""
4. Next: ""It's very warm but that’s okay for me.""
5. Finish with ""Thank you.""

Keep up the good work!","Great job, Ricardo! You've introduced yourself clearly. It’s good that you mentioned your age, where you live, and how you feel about it. To make it even better, try grouping the information together like this:

HI teacher,
I'm Ricardo. I have 47 years old. I live in Rio de Janeiro, which is a very nice place. I am single and live alone, and don't have a dog. It's very hot there, but I like it so much. I hope you like it too.

Keep up the good work!"
2203,5,Updating your online profile,narrative,"Good evening ladies and gentlemen.IS To those of you who don't know me, my name is April Yang. I am glad to introductSPintroduce our company for you. Before I outline the sections of my presentaionSPpresentation, here is an interesting fact. Do you know that our many customers are the tier 1 branding companies in the world? So,IS with that in mind, my presentaionSPpresentation have 3 parts.IS Firstly, I'm going to introductSPintroduce our history.IS Then, I'm going to talk about our organizations and its products.IS Finally, I 'm going to talk about the benifitSPbenefit that our cooperation.IS Thank you very mcuhSPmuch.",Self_Introduction -> Other -> Other -> Information_Reporting -> Other,848513,45,Writing on the family blog,Information_Reporting,The sequence contains 1 moves. It uses these move types: Information_Reporting. It begins with Information_Reporting and ends with Information_Reporting.,1,"YOUR CURRENT STRUCTURE:
Your essay starts with a self-introduction and then immediately shifts to providing information about your company. It lacks clear organization into distinct parts.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically use clearer transitions between different sections of their writing, making the structure more organized.

ONE THING TO TRY:
Try starting each part with a sentence like ""Firstly,"" or ""Secondly,"" to clearly show the order of your information. This is called an Information_Reporting move and will help organize your essay better.","Hi April! Your essay has a good start. You introduced yourself and mentioned your topic. However, it’s a bit confusing because you talked about introducing your company instead of updating your online profile. Try to focus on the parts of your profile. For example, you could start by saying something like: ""Hello everyone! My name is April Yang. I will show you how to update my online profile."" This will help make your essay clearer and more focused. Keep going though; you're doing great!","Great job! You've started with a clear introduction and outlined your presentation well. Your structure is easy to follow. Just one suggestion: you could group ""our company"" information together at the beginning for better organization. Keep up the good work!"
2330,1,Introducing yourself by email,narrative,Hi! Fine thanks. How are you? My name's Cristina. I'm 26 years old. Bye! Cristina.,Social_Opening -> Social_Closing -> Social_Opening -> Self_Introduction -> Self_Introduction -> Social_Closing -> Social_Closing,1071769,44,Writing a resume,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Social_Opening, Social_Closing. Repeated runs: Social_Opening x2, Social_Closing x2. It begins with Social_Opening and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
You start with a social opening, then introduce yourself, and end with two closings.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically have a more balanced structure without repetitive openings and closings.

ONE THING TO TRY:
Try adding one self-introduction move between your current ones. For example: ""Hi! Fine thanks. How are you? My name's Cristina, I'm 26 years old."" This will make your email more organized and clear.","Great start! Your email has three main parts. That's good! But it could be a bit more organized. Maybe add a little more about yourself, like where you live or what you do. Also, thank the person for asking how they are doing. Here’s an idea: 

1. Greet and say hello.
2. Ask how the other person is doing.
3. Introduce yourself (name and age).
4. Add one or two more details about yourself.
5. Say goodbye.

Keep up the good work!","Great start, Cristina! You've included important parts like saying hello, asking how the other person is doing, and mentioning your name and age. It’s good to keep it simple. Adding a little more detail about where you are from or what you do could make your email even better! Keep up the good work!"
2389,6,Signing up for a dating website,narrative,"Name: Marco, Age: 37. Hair color brown. Eye Color brown. I'm not tall, but I'm not too short . I have a short brown hair and I 'm thin.",Self_Introduction -> Physical_Description -> Physical_Description -> Other -> Physical_Description,132225,44,Writing a resume,Information_Reporting -> Physical_Description -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Information_Reporting, Physical_Description, Social_Closing. It begins with Information_Reporting and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
You start by introducing yourself and then describe your physical appearance three times.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically introduce themselves once and then move on to describing their physical characteristics just once.

ONE THING TO TRY:
Try writing a clear self-introduction at the beginning, followed by a single description of how you look. This will make your essay more organized and easier to read.","Great effort, Marco! Your essay has some good ideas. To make it clearer, you could try organizing your thoughts like this:

1. Start by introducing yourself: ""I am Marco. I am 37 years old.""
2. Talk about your appearance next: ""I have brown hair and eyes. I am not tall or short.""
3. Describe your physical traits: ""My hair is short and brown, and I am thin.""

This way, it's easier for the reader to understand what you are writing about. Keep up the good work!","Great job, Marco! You've introduced yourself clearly with your name and age first. It’s good that you mentioned your physical traits next. To make it even clearer, try grouping related information together. For example, put all the physical details like hair color and height in one sentence. Keep up the good work!"
2417,3,Writing an online profile,narrative,"Hi! My name's Tiago. I'm twenty-eight years old. I'm from Copacabana, in Rio de Janeiro, in Brazil. I love Rio de Janeiro, Cristo Redentor and I like playing chess. Nice to meet you. Bye! Tiago",Social_Opening -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Narrative_Experience -> Social_Opening -> Social_Closing -> Social_Closing,1071769,44,Writing a resume,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Social_Opening, Social_Closing. Repeated runs: Social_Opening x2, Social_Closing x2. It begins with Social_Opening and ends with Social_Closing.",4,"YOUR CURRENT STRUCTURE:
You start by greeting and introducing yourself twice, then mention your place of origin, love for Rio de Janeiro, and hobbies. You end with a friendly closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically open and close their profiles more clearly and use fewer repetitive introductions.

ONE THING TO TRY:
Try opening your profile just once at the beginning and closing it at the end. This will make your writing clearer and more focused. Use a Social_Opening move to start and a Social_Closing move to finish.","Great job, Tiago! Your essay is clear and easy to understand. Here’s a small suggestion: you could add an introduction that tells us something about yourself right away. For example, ""Hi everyone! My name is Tiago, and I’m 28 years old."" Then, you can introduce where you come from and what you like. This way, your profile starts with who you are, which is nice to read. Keep up the good work!","Great job, Tiago! You started with your name and age, which is good. Then you told us where you're from and what you like, but it would be nice to put the information about Rio de Janeiro and chess together in one sentence. This makes your profile easier to read. Keep up the good work!"
2689,8,Making a dinner party menu,descriptive,"Hi! This is the menu: The starter is vegetables and soup. The main course is chicken or meat, rice and noodles. The drinks is coke and juice orange. The dessert is chocolate cake and ice cream. Ok! Bye bye",Social_Opening -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Social_Closing -> Social_Closing,671146,46,Writing an email of advice,Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Social_Closing,"The sequence contains 7 moves. It uses these move types: Opinion_Evaluation, Social_Closing. Repeated runs: Opinion_Evaluation x6. It begins with Opinion_Evaluation and ends with Social_Closing.",2,"YOUR CURRENT STRUCTURE:
You start by saying hello and introduce your menu. Then you list each dish one by one without much detail or evaluation.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often provide more evaluations or opinions on their choices, like why they picked certain dishes.

ONE THING TO TRY:
Add a sentence after each dish to say something about it, such as ""The chocolate cake is our specialty!"" This will help give your menu more detail and interest. You can use the Opinion_Evaluation move type for this.","Great job! You did a good job organizing your menu. Here are some tips to make it even clearer:

1. Start with an introduction like ""This is our dinner party menu:""
2. List the starter first, then main course, drinks, and dessert.
3. Add a little description for each item if you want.

Your structure is almost perfect! Keep up the good work!","Great job organizing your menu into different sections! You did a good job by adding ""The starter is"" and ""The main course is"" to separate your food choices. Adding a sentence at the end like ""I hope you enjoy my menu!"" would be a nice touch too. Keep up the good work!"
2698,3,Writing an online profile,narrative,"Hi, My name's Caroline. I'm thirty-four years old. I'm from So Paulo, in Brazil. I like to cook. Nice to meet you. Bye",Self_Introduction -> Self_Introduction -> Self_Introduction -> Opinion_Evaluation -> Social_Opening -> Social_Closing,925415,44,Writing a resume,Information_Reporting -> Information_Reporting -> Social_Closing -> Opinion_Evaluation -> Social_Closing -> Social_Closing,"The sequence contains 6 moves. It uses these move types: Information_Reporting, Social_Closing, Opinion_Evaluation. Repeated runs: Information_Reporting x2, Social_Closing x2. It begins with Information_Reporting and ends with Social_Closing.",4,"YOUR CURRENT STRUCTURE:
You start by introducing yourself twice and then say you like to cook. You end with a social closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often provide more information about themselves before ending the profile.

ONE THING TO TRY:
Try adding one or two sentences about your interests or hobbies after introducing yourself, like ""I enjoy traveling and meeting new people."" This will help give others a better idea of who you are.","Great job, Caroline! Your writing is clear and easy to understand. You started by introducing yourself and gave some important details like your age and where you're from. Adding a sentence about what you like to do (cooking) was also good. Just remember to include more information to make it longer and more interesting. Keep up the good work!","Great job! You have all the main parts of your profile. You started with introducing yourself, told us where you're from and what you like to do. It's clear and easy to understand. Maybe you could add a bit more about yourself or your interests to make it longer and more interesting. Keep up the good work!"
2701,6,Signing up for a dating website,narrative,Name: Caroline M. Age: 34 Hair color: Blond Eye Color: Blue Describe yourself: I'm short and slim. I have short hair. I have long arms and big hands. I'm happy.,Physical_Description -> Physical_Description -> Physical_Description -> Opinion_Evaluation,132225,44,Writing a resume,Information_Reporting -> Physical_Description -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Information_Reporting, Physical_Description, Social_Closing. It begins with Information_Reporting and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
You start by describing yourself physically three times and then say you are happy.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often mix descriptions with opinions or add some context about their goals or interests on the dating website.

ONE THING TO TRY:
Try adding a sentence about why you want to sign up for this website. For example, ""I'm looking for someone who shares my love for hiking and outdoor adventures."" This adds an opinion and gives more context about your intentions, making your writing clearer and more engaging.","Great job, Caroline! Your essay is clear. Here are some ideas to make it even better:

1. Start with a small introduction about yourself.
2. Talk about your height and body type.
3. Describe your appearance next.
4. End by saying how you feel.

For example:
""Hello, I'm 34 years old. I am short and slim. My hair is blonde and my eyes are blue. I have long arms and big hands. I'm very happy!""

This helps organize your thoughts better and makes it easier to read. Keep up the good work!","Great job, Caroline! Your essay tells us about yourself in a clear way. You start by giving your name and age, which is good. Then you describe what you look like, which is also helpful. One suggestion is to add a sentence or two about your interests or what you're looking for in a partner. This will help others get to know you better! Keep it simple and positive."
2797,1,Introducing yourself by email,narrative,"hi, y'm fine, thanks. my name's Alcione. Y'm 35 years old. nice to meet you Anna. by. Alcione",Social_Opening -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing -> Social_Closing,1071769,44,Writing a resume,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Social_Opening, Social_Closing. Repeated runs: Social_Opening x2, Social_Closing x2. It begins with Social_Opening and ends with Social_Closing.",2,"YOUR CURRENT STRUCTURE:
Your email starts with a social opening, then introduces yourself twice, followed by another social opening and closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often structure their emails more clearly without unnecessary repetitions.

ONE THING TO TRY:
Try introducing yourself just once. This makes your message clearer and more concise. Explicitly state who you are at the beginning and then move to the main part of your email.","Great start! Your email is short but clear. It's good that you introduced yourself and mentioned your age. Next time, try adding a bit more about where you're from or what you like to do. This can make the introduction feel more complete. Keep up the good work!","Great start! You're introducing yourself and mentioning Anna. That's good. Next time, try adding a bit more about yourself, like where you're from or what you do. It helps the reader get to know you better. Keep it friendly, just like your first sentence!"
